t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,Xihat,sign_level,betastar,Jump_indicator
2019-04-17T00:00:00Z,2019-04-17,okex,btcusd,1,8.55116939713033,5172.7999490953,,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0,0,-0.894452530589477,0.1,2.25036732731245,0
2019-04-17T00:00:48Z,2019-04-17,okex,btcusd,49,8.55178295640345,5175.97474233437,5172.7999490953,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000613559273118014,1.4613472423501,-0.516541072360701,0.1,2.25036732731245,0
2019-04-17T00:01:37Z,2019-04-17,okex,btcusd,98,8.5521741571414,5177.99998358529,5175.97474233437,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000391200737949404,0.931743915632627,-0.6534990517392,0.1,2.25036732731245,0
2019-04-17T00:02:26Z,2019-04-17,okex,btcusd,147,8.55251686620971,5179.77483524691,5177.99998358529,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000342709068315017,0.816248688354831,-0.683366675596227,0.1,2.25036732731245,0
2019-04-17T00:03:15Z,2019-04-17,okex,btcusd,196,8.55309588362888,5182.77488356017,5179.77483524691,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000579017419164885,1.37907704412859,-0.537816543157541,0.1,2.25036732731245,0
2019-04-17T00:04:04Z,2019-04-17,okex,btcusd,245,8.5531537841531,5183.07497763056,5182.77488356017,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,5.79005242205e-05,0.137904804160589,-0.858789681865535,0.1,2.25036732731245,0
2019-04-17T00:04:53Z,2019-04-17,okex,btcusd,294,8.55330811658696,5183.87495593644,5183.07497763056,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000154332433858428,0.367581888996752,-0.799394077907243,0.1,2.25036732731245,0
2019-04-17T00:05:42Z,2019-04-17,okex,btcusd,343,8.55330330107932,5183.84999300712,5183.87495593644,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-4.81550763353766e-06,-0.0114693544847338,-0.891486500098806,0.1,2.25036732731245,0
2019-04-17T00:06:31Z,2019-04-17,okex,btcusd,392,8.55302354106349,5182.39996189086,5183.84999300712,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00027976001582708,-0.666319531886675,-0.722139079929623,0.1,2.25036732731245,0
2019-04-17T00:07:20Z,2019-04-17,okex,btcusd,441,8.5531827237118,5183.22497570355,5182.39996189086,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000159182648301837,0.379133906564121,-0.796406670343967,0.1,2.25036732731245,0
2019-04-17T00:08:09Z,2019-04-17,okex,btcusd,490,8.55399242403043,5187.42353417559,5183.22497570355,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000809700318630036,1.92850695866251,-0.395731312365911,0.1,2.25036732731245,0
2019-04-17T00:08:58Z,2019-04-17,okex,btcusd,539,8.55671191854814,5201.54990362385,5187.42353417559,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00271949451771647,6.47716689840785,0.780574127572884,0.1,2.25036732731245,0
2019-04-17T00:09:47Z,2019-04-17,okex,btcusd,588,8.55588488293983,5197.24981504342,5201.54990362385,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000827035608313764,-1.96979535390739,-0.385053933846467,0.1,2.25036732731245,0
2019-04-17T00:10:35Z,2019-04-17,okex,btcusd,636,8.55714910128354,5203.82442859432,5197.24981504342,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00126421834371193,3.01105707509452,-0.115778621280229,0.1,2.25036732731245,0
2019-04-17T00:11:24Z,2019-04-17,okex,btcusd,685,8.5608506979715,5223.12258282085,5203.82442859432,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00370159668796255,8.81629265377576,1.38548335077022,0.1,2.25036732731245,0
2019-04-17T00:12:13Z,2019-04-17,okex,btcusd,734,8.5594381439279,5215.74984831514,5223.12258282085,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00141255404360052,-3.36435621907562,-0.0244137554745072,0.1,2.25036732731245,0
2019-04-17T00:13:02Z,2019-04-17,okex,btcusd,783,8.55814312623447,5208.99973168066,5215.74984831514,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00129501769343321,-3.08441354895667,-0.0968082826746102,0.1,2.25036732731245,0
2019-04-17T00:13:51Z,2019-04-17,okex,btcusd,832,8.56041067883357,5220.82481449271,5208.99973168066,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00226755259909694,5.40075243380237,0.502208145697544,0.1,2.25036732731245,0
2019-04-17T00:14:40Z,2019-04-17,okex,btcusd,881,8.56037232602717,5220.62458504907,5220.82481449271,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-3.83528063974126e-05,-0.0913469493834314,-0.870829768082514,0.1,2.25036732731245,0
2019-04-17T00:15:29Z,2019-04-17,okex,btcusd,930,8.55894907119396,5213.19959095875,5220.62458504907,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00142325483321137,-3.38984286734893,-0.0178227850773272,0.1,2.25036732731245,0
2019-04-17T00:16:18Z,2019-04-17,okex,btcusd,979,8.55912656284681,5214.12497249209,5213.19959095875,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000177491652847195,0.422741451058666,-0.785129548622228,0.1,2.25036732731245,0
2019-04-17T00:17:07Z,2019-04-17,okex,btcusd,1028,8.55867092148781,5211.74974267122,5214.12497249209,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000455641358994896,-1.08522562145316,-0.613807940977053,0.1,2.25036732731245,0
2019-04-17T00:17:56Z,2019-04-17,okex,btcusd,1077,8.55840710153826,5210.3749604725,5211.74974267122,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000263819949550381,-0.628354215548199,-0.731957094186465,0.1,2.25036732731245,0
