t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,C,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,sign_level,betastar,criticalvalue,Jump_indicator,hour,n_obs_sample,weekday,AJL_Jump_indicator
2019-04-13T08:02:51Z,2019-04-13,,ethusd,19247,5.11502533899964,166.505,164.05,46,1.94603109868189,89.5174305393669,0.0555555555555556,0.00135375965491968,3.72370761450258e-06,8.75888953662795e-06,3.66533043510736e-06,3.17155750533841,0.27851544910638,0.014854079592526,7.0015808826882,1.58227848101266e-06,13.3566438819871,6.89158917468404,1,8,632,Saturday,1
2019-04-14T00:01:59Z,2019-04-14,,ethusd,79,5.09407486108404,163.052928216576,165.2,37,2.13075654564057,78.837992188701,0.0555555555555556,0.00143212667441753,2.47313030684934e-06,5.72562948542932e-06,4.10197363574156e-06,3.19779293238528,0.276570595304056,-0.0130820000028367,-7.98048783953371,1.44508670520231e-06,13.4473405120663,6.91693190306382,-1,0,692,Sunday,1
2019-04-14T15:37:19Z,2019-04-14,,etcusd,15622,1.82648290528644,6.212,6.3,32,1.52550335752733,48.8161074408746,0.0555555555555556,0.00111436896416391,1.34211565946643e-07,5.84585382305163e-06,2.48363637662057e-06,3.10050216433226,0.283922867307043,-0.0140667281110463,-7.18580952988658,2.01612903225806e-06,13.1143301976316,6.82396039685516,-1,15,496,Sunday,1
2019-04-15T17:29:12Z,2019-04-15,,btcusd,40782,8.52927920070809,5060.79670115253,5103.10443679723,5,5.97964654804163,29.8982327402082,0.0555555555555556,0.00148803315424215,5.37780578072087e-06,6.650237730121e-06,4.42848539575547e-06,3.48351021439352,0.257021079247311,-0.00832514591115441,-7.89425272371867,5.15729757607014e-07,14.4776826764386,7.20457984089186,-1,17,1939,Monday,1
2019-04-15T17:29:53Z,2019-04-15,,ltcusd,36570,4.36496583302093,78.6467127752815,79.6859677296738,5,5.61743318211757,28.0871659105879,0.0555555555555556,0.00108371173532618,4.18401054948282e-06,1.04061454194716e-05,2.34886228658781e-06,3.46684387950856,0.258085498467011,-0.0131276736565793,-9.6452121448203,5.48847420417124e-07,14.4154450824081,7.18726120922569,-1,17,1822,Monday,1
2019-04-15T17:41:38Z,2019-04-15,,ltcusd,36991,4.3483598182852,77.3514883262534,76.5303047930562,5,5.61743318211757,28.0871659105879,0.0555555555555556,0.00108371173532618,4.18401054948282e-06,1.04061454194716e-05,2.34886228658781e-06,3.46684387950856,0.258085498467011,0.0106730148101732,7.84171626762952,5.48847420417124e-07,14.4154450824081,7.18726120922569,1,17,1822,Monday,1
2019-04-15T17:32:44Z,2019-04-15,,ethusd,41906,5.07528939317564,160.018493539393,161.695360099208,5,6.00796796032949,30.0398398016474,0.0555555555555556,0.00114664072114866,3.05350756486923e-06,6.21315343260707e-06,2.62956990597762e-06,3.48474746502924,0.256942408606469,-0.0104246784948456,-10.2510991614396,5.13347022587269e-07,14.4823135065698,7.20586797960128,-1,17,1948,Monday,1
2019-04-15T17:35:51Z,2019-04-15,,ethusd,42026,5.05106775470344,156.189147178971,157.369458544599,5,6.00796796032949,30.0398398016474,0.0555555555555556,0.00114664072114866,3.05350756486923e-06,6.21315343260707e-06,2.62956990597762e-06,3.48474746502924,0.256942408606469,-0.0075285252514421,-7.40316921333293,5.13347022587269e-07,14.4823135065698,7.20586797960128,-1,17,1948,Monday,1
2019-04-16T17:32:01Z,2019-04-16,,btcusd,43802,8.55205647019965,5177.39063645964,5115.64457522217,38,2.16666666666667,82.3333333333333,0.0555555555555556,0.00141876005631093,7.2391053183373e-06,5.75981920751002e-06,4.02576030259529e-06,3.20274465936017,0.276206560704576,0.0119977830921254,7.35855653982443,1.42045454545455e-06,13.464532924929,6.92173699004834,1,17,704,Tuesday,1
2019-04-16T21:52:06Z,2019-04-16,,ltcusd,46988,4.40896310133321,82.1842026182648,81.0099975311689,37,2.06827894099848,76.5263208169436,0.0555555555555556,0.00120786462076993,4.84312366975274e-07,7.64128505074753e-06,2.917873884698e-06,3.18933034750433,0.277194961125047,0.0143905279664391,7.48683190440065,1.48809523809524e-06,13.418012875424,6.90873590488287,1,21,672,Tuesday,1
