id,t,s,p,q,date
bitstamp,2020-08-14T00:00:22.226Z,bchusd,296.51,0.4,2020-08-14
bitstamp,2020-08-14T00:00:22.226Z,bchusd,296.51,2.1483546,2020-08-14
bitstamp,2020-08-14T00:00:40.190Z,bchusd,297.02,1.99767488,2020-08-14
bitstamp,2020-08-14T00:02:15.719Z,bchusd,297.8,1,2020-08-14
bitstamp,2020-08-14T00:02:15.719Z,bchusd,298,6.81,2020-08-14
bitstamp,2020-08-14T00:02:22.070Z,bchusd,298.11,0.21945756,2020-08-14
bitstamp,2020-08-14T00:05:02.291Z,bchusd,297.57,18,2020-08-14
bitstamp,2020-08-14T00:05:02.291Z,bchusd,297.55,11.27246923,2020-08-14
bitstamp,2020-08-14T00:05:02.291Z,bchusd,297.54,16.00080633,2020-08-14
bitstamp,2020-08-14T00:07:34.230Z,bchusd,297.9,0.4,2020-08-14
bitstamp,2020-08-14T00:07:34.230Z,bchusd,297.92,1.604,2020-08-14
bitstamp,2020-08-14T00:10:15.272Z,bchusd,296.67,6.38,2020-08-14
bitstamp,2020-08-14T00:10:36.832Z,bchusd,296.31,0.17526,2020-08-14
bitstamp,2020-08-14T00:11:36.200Z,bchusd,296.3,7,2020-08-14
bitstamp,2020-08-14T00:12:34.868Z,bchusd,296.5,2.004,2020-08-14
bitstamp,2020-08-14T00:13:22.643Z,bchusd,296.91,0.4,2020-08-14
bitstamp,2020-08-14T00:13:22.643Z,bchusd,297.06,3.91,2020-08-14
bitstamp,2020-08-14T00:17:05.635Z,bchusd,296.99,2.49,2020-08-14
bitstamp,2020-08-14T00:17:35.541Z,bchusd,297.18,2.004,2020-08-14
bitstamp,2020-08-14T00:18:27.388Z,bchusd,297.02,2.0069182,2020-08-14
bitstamp,2020-08-14T00:20:20.212Z,bchusd,297.24,0.47127125,2020-08-14
bitstamp,2020-08-14T00:20:47.481Z,bchusd,297.9,18,2020-08-14
bitstamp,2020-08-14T00:20:47.481Z,bchusd,298.1,1.51048947,2020-08-14
bitstamp,2020-08-14T00:21:22.349Z,bchusd,298.42,1.95094059,2020-08-14
bitstamp,2020-08-14T00:22:36.150Z,bchusd,298.27,2.004,2020-08-14
bitstamp,2020-08-14T00:23:33.570Z,bchusd,298.14,2,2020-08-14
bitstamp,2020-08-14T00:26:58.031Z,bchusd,297.45,13.98,2020-08-14
bitstamp,2020-08-14T00:27:02.301Z,bchusd,297.62,18,2020-08-14
bitstamp,2020-08-14T00:27:02.301Z,bchusd,297.63,11,2020-08-14
bitstamp,2020-08-14T00:27:02.301Z,bchusd,297.65,1.4788174,2020-08-14
