s,date,open,high,low,close,log_ret,diff_date
bchusd,2019-04-12,272.22,291,255.73,280.82,,0
bchusd,2019-04-13,280.51,288.98,270.12,278.07,-0.00984101413064519,1
bchusd,2019-04-14,276.75,294,272.18,287.7,0.0340453900016512,1
bchusd,2019-04-15,287.6,338.7,286.34,312.65,0.0831660834558046,1
bchusd,2019-04-16,313.04,325.85,301.69,315.02,0.00755177486028248,1
bchusd,2019-04-17,315.02,365,302.4,310.17,-0.0155155946068778,1
bchusd,2019-04-18,310.14,317.5,301.94,305.3,-0.0158256345258792,1
bchusd,2019-04-19,306.36,365,289.21,305.04,-0.000851984191523843,1
bchusd,2019-04-20,306.97,365,292,300.12,-0.0162605208717804,1
bchusd,2019-04-21,301.4,365,276.94,288.28,-0.0402501646212878,1
bchusd,2019-04-22,288.02,365,284.44,290.8,0.0087035156031242,1
bchusd,2019-04-23,290.75,365,285.43,288.59,-0.00762874995457031,1
bchusd,2019-04-24,286.52,365,267,277.01,-0.0409533890860515,1
bchusd,2019-04-25,278.74,365,256.31,268.46,-0.0313516795592526,1
bchusd,2019-04-26,268.06,365,250,266.76,-0.0063525492953845,1
bchusd,2019-04-27,266.71,274.5,255,265.61,-0.00432031026818312,1
bchusd,2019-04-28,265.68,277.87,244,256.67,-0.034237854387646,1
bchusd,2019-04-29,248.93,266.62,227.4,239,-0.0713276611767657,1
bchusd,2019-04-30,239.1,365,230.8,267.59,0.112992406416544,1
bchusd,2019-05-01,267.32,365,261.41,270.82,0.0119984352066237,1
bchusd,2019-05-02,270.95,295.83,261.49,269.3,-0.00562839373712474,1
bchusd,2019-05-03,281.1,365,262,287.43,0.0651533525133384,1
bchusd,2019-05-04,293.18,365,267.75,287.18,-0.000870155464660882,1
bchusd,2019-05-05,290.74,365,282.02,293.3,0.0210867791171746,1
bchusd,2019-05-06,293.38,315,272.8,285.61,-0.0265687321253498,1
bchusd,2019-05-07,288.64,315.23,279.41,280,-0.019837640688806,1
bchusd,2019-05-08,280,365,269.73,286.49,0.0229140283624238,1
bchusd,2019-05-09,286.69,365,274.12,282.8,-0.0129636975092556,1
bchusd,2019-05-10,284.77,365,276.21,285.56,0.00971223061184198,1
bchusd,2019-05-11,287.04,387.99,285.65,353.92,0.214618734259656,1
bchusd,2019-05-12,353.93,382.21,330,355.96,0.00574746609474615,1
bchusd,2019-05-13,355.84,407.21,347,384.39,0.076839297200933,1
bchusd,2019-05-14,385.21,410.92,361,387.89,0.00906413208385621,1
bchusd,2019-05-15,388.91,413.13,368,404.14,0.0410395583118994,1
bchusd,2019-05-16,402.5,452.91,365,398,-0.0153093473009124,1
bchusd,2019-05-17,398.01,412.65,335,367.85,-0.0787767589061642,1
bchusd,2019-05-18,367.2,376.31,349.25,357.27,-0.0291834479302594,1
bchusd,2019-05-19,357.57,445,355.96,416.03,0.152265574597675,1
bchusd,2019-05-20,415.98,423.2,365,411.58,-0.0107539611312865,1
bchusd,2019-05-21,414.96,447.39,365,414.83,0.00786538583728601,1
bchusd,2019-05-22,417,425,365,387.8,-0.0673790549431374,1
bchusd,2019-05-23,387.42,409.25,365,405.93,0.0456909881351111,1
bchusd,2019-05-24,406,426,392.62,408.33,0.00589494006842942,1
bchusd,2019-05-25,408.45,415.69,397.5,404,-0.0106607930509418,1
bchusd,2019-05-26,406.04,444.6,388.32,428.37,0.0585724301491635,1
bchusd,2019-05-27,433.55,458.96,415,439.72,0.0261508526003494,1
bchusd,2019-05-28,439.59,446.75,425.1,433.52,-0.0142002294528044,1
bchusd,2019-05-29,433.66,467.99,419.16,456.4,0.0514316867300618,1
bchusd,2019-05-30,458.23,483.33,398.55,420.64,-0.0815922570063495,1
bchusd,2019-05-31,420.66,445.33,412.02,443.92,0.0538670050360748,1
bchusd,2019-06-01,443.53,449.53,426.6,432.5,-0.0260620396457118,1
bchusd,2019-06-02,432.75,452.75,430.31,440.68,0.0187366620999301,1
bchusd,2019-06-03,440.58,448,393.37,400.94,-0.094507198295534,1
bchusd,2019-06-04,401.49,403.65,362.53,383.13,-0.0454374330000498,1
bchusd,2019-06-05,383.38,419.2,378.23,396.85,0.0351840183606042,1
bchusd,2019-06-06,396.82,402.6,368.69,395.96,-0.00224517948527804,1
bchusd,2019-06-07,396.2,410.99,389.3,399.03,0.00772340598170794,1
bchusd,2019-06-08,399.09,404.79,384.24,393.46,-0.0140571911851949,1
bchusd,2019-06-09,392.07,398.25,370.27,380.12,-0.034492418505005,1
bchusd,2019-06-10,380.28,400.87,373.08,394.11,0.0361430658064119,1
bchusd,2019-06-11,392.64,398.79,377.63,388.26,-0.0149548398522968,1
bchusd,2019-06-12,386.53,404.6,377,396.8,0.021757157113488,1
bchusd,2019-06-13,396.83,425.61,393,412.05,0.0377123257986747,1
bchusd,2019-06-14,411.19,423,399,420.07,0.0192766628473422,1
bchusd,2019-06-15,421.32,428,410.43,421.42,0.00320859703192664,1
bchusd,2019-06-16,423.66,442.25,415.95,426.73,0.0125215336411362,1
bchusd,2019-06-17,427.46,440,423,430.48,0.00874937045136657,1
bchusd,2019-06-18,430.56,432.59,402.33,414.15,-0.0386726381368912,1
bchusd,2019-06-19,414.29,421.98,407,415.33,0.0028451579206266,1
bchusd,2019-06-20,416.37,419.12,403,412.03,-0.00797722273231521,1
bchusd,2019-06-21,412.03,444.83,412.03,440.05,0.0657921945872362,1
bchusd,2019-06-22,441.63,517.75,430.01,482.75,0.092610564488803,1
bchusd,2019-06-23,479.56,503.19,468.52,474.76,-0.0166895081203194,1
bchusd,2019-06-24,474.87,480,458.53,478.31,0.00744964465969588,1
bchusd,2019-06-25,479.57,486.61,461.38,477.36,-0.00198813463417379,1
bchusd,2019-06-26,479.69,520.36,435,488.51,0.0230890188885548,1
bchusd,2019-06-27,488.82,496.3,382.28,418.04,-0.155782820376078,1
bchusd,2019-06-28,411.42,442.98,389.3,434,0.0374674123741019,1
bchusd,2019-06-29,436.67,445.31,411,439.62,0.0128661832995227,1
bchusd,2019-06-30,441.34,449.5,395,400.04,-0.0943461752916122,1
bchusd,2019-07-01,402.8,423.41,385,418.35,0.0447538606332924,1
bchusd,2019-07-02,417.98,424.62,380.32,408.22,-0.024512157975711,1
bchusd,2019-07-03,407.85,424,403.8,420.67,0.0300424335660273,1
bchusd,2019-07-04,422.71,423.74,397.55,399.64,-0.0512845364671063,1
bchusd,2019-07-05,400.1,410.94,390.54,399.94,0.000750393992039087,1
bchusd,2019-07-06,400.01,420.58,398.49,406.69,0.0167366886055161,1
bchusd,2019-07-07,406.69,416.39,396.52,412.92,0.0152026451350165,1
bchusd,2019-07-08,410.47,420.74,404,416.62,0.00892066575837936,1
bchusd,2019-07-09,416.73,428.98,408.88,414.83,-0.00430573760407993,1
bchusd,2019-07-10,414.83,423.82,377,388.97,-0.0643665779298281,1
bchusd,2019-07-11,388.94,389.48,311.51,345.85,-0.117497064775267,1
bchusd,2019-07-12,345.49,362.28,336.29,352.62,0.0193858348060203,1
bchusd,2019-07-13,353.7,354.28,330.05,343.57,-0.0260001143808684,1
bchusd,2019-07-14,343.61,346,272.3,280.65,-0.202282534083537,1
bchusd,2019-07-15,280.18,328.39,251.23,313.44,0.110499612808022,1
bchusd,2019-07-16,313.1,318.3,263.34,282.4,-0.104283448577144,1
bchusd,2019-07-17,282.46,309.2,272.01,292.2,0.0341139936975121,1
bchusd,2019-07-18,292.3,323.68,283.32,314.98,0.0750706454298357,1
bchusd,2019-07-19,314.83,316.3,295.06,308.2,-0.0217602218604194,1
bchusd,2019-07-20,307.93,344,304.93,324.36,0.0511050871903413,1
bchusd,2019-07-21,324.87,332.45,310.03,320.84,-0.0109114535776329,1
bchusd,2019-07-22,320.54,325,299.48,309.84,-0.034886521292227,1
bchusd,2019-07-23,310.14,315.65,290.85,297.51,-0.0406081973403533,1
bchusd,2019-07-24,298.07,308.39,281.98,302.59,0.0169309160154146,1
bchusd,2019-07-25,302.51,313.24,291.28,302.27,-0.00105809618706849,1
bchusd,2019-07-26,302.38,325,294.08,317.16,0.0480857207097088,1
bchusd,2019-07-27,317.54,326.26,297.38,305,-0.0390946017967866,1
bchusd,2019-07-28,305.01,313,288.59,310.99,0.0194489807140246,1
bchusd,2019-07-29,310.45,315,301.13,305.29,-0.01849861278459,1
bchusd,2019-07-30,305.27,325.36,301.69,318.32,0.041795021581827,1
bchusd,2019-07-31,318.27,339,317.5,328.84,0.0325141441652594,1
bchusd,2019-08-01,328.95,331.26,318,329.68,0.00255117674662931,1
bchusd,2019-08-02,329.56,334.65,319.97,328.13,-0.00471261570553421,1
bchusd,2019-08-03,328.13,349.12,325.78,335.51,0.0222418909018255,1
bchusd,2019-08-04,335.51,339.99,328.46,336.58,0.00318410005807396,1
bchusd,2019-08-05,336.49,357.36,336.32,347.03,0.0305753692562973,1
bchusd,2019-08-06,347.78,355.86,329.2,335.21,-0.0346540304427288,1
bchusd,2019-08-07,334.93,346.99,329.9,338.33,0.0092645494440002,1
bchusd,2019-08-08,339.01,340.06,325,332.71,-0.0167505108612644,1
